tm,MVm,PVm
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.750000000000007192e-03
2.000000000000000000e+00,1.000000000000000000e+00,7.499999999998508294e-04
3.000000000000000000e+00,1.000000000000000000e+00,7.499999999998508294e-04
4.000000000000000000e+00,1.000000000000000000e+00,7.499999999998508294e-04
5.000000000000000000e+00,1.000000000000000000e+00,1.750000000000007192e-03
6.000000000000000000e+00,1.000000000000000000e+00,2.499999999999857805e-03
7.000000000000000000e+00,1.000000000000000000e+00,2.499999999999857805e-03
8.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
9.000000000000000000e+00,1.000000000000000000e+00,7.499999999998508294e-04
1.000000000000000000e+01,1.000000000000000000e+00,3.999999999999915082e-03
1.100000000000000000e+01,1.000000000000000000e+00,7.499999999998508294e-04
1.200000000000000000e+01,1.000000000000000000e+00,3.249999999999886226e-03
1.300000000000000000e+01,1.000000000000000000e+00,2.499999999999857805e-03
1.400000000000000000e+01,1.000000000000000000e+00,3.999999999999915082e-03
1.500000000000000000e+01,1.000000000000000000e+00,4.749999999999943504e-03
1.600000000000000000e+01,1.000000000000000000e+00,6.499999999999950262e-03
1.700000000000000000e+01,1.000000000000000000e+00,8.000000000000007105e-03
1.800000000000000000e+01,1.000000000000000000e+00,9.750000000000013864e-03
1.900000000000000000e+01,1.000000000000000000e+00,1.049999999999986534e-02
2.000000000000000000e+01,1.000000000000000000e+00,1.124999999999989377e-02
2.100000000000000000e+01,1.000000000000000000e+00,1.124999999999989377e-02
2.200000000000000000e+01,1.000000000000000000e+00,1.199999999999992219e-02
2.300000000000000000e+01,1.000000000000000000e+00,1.624999999999996586e-02
2.400000000000000000e+01,1.000000000000000000e+00,1.774999999999984229e-02
2.500000000000000000e+01,1.000000000000000000e+00,1.699999999999999428e-02
2.600000000000000000e+01,1.000000000000000000e+00,1.774999999999984229e-02
2.700000000000000000e+01,1.000000000000000000e+00,1.699999999999999428e-02
2.800000000000000000e+01,1.000000000000000000e+00,1.774999999999984229e-02
2.900000000000000000e+01,1.000000000000000000e+00,2.099999999999990763e-02
3.000000000000000000e+01,1.000000000000000000e+00,2.174999999999993605e-02
3.100000000000000000e+01,1.000000000000000000e+00,2.349999999999994454e-02
3.200000000000000000e+01,1.000000000000000000e+00,2.424999999999997297e-02
3.300000000000000000e+01,1.000000000000000000e+00,2.574999999999984940e-02
3.400000000000000000e+01,1.000000000000000000e+00,2.649999999999987782e-02
3.500000000000000000e+01,1.000000000000000000e+00,2.899999999999991473e-02
3.600000000000000000e+01,1.000000000000000000e+00,2.974999999999994316e-02
