tm,MVm,PVm
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,3.250000000000064036e-03
2.000000000000000000e+00,1.000000000000000000e+00,1.500000000000056843e-03
3.000000000000000000e+00,1.000000000000000000e+00,4.000000000000092024e-03
4.000000000000000000e+00,1.000000000000000000e+00,7.500000000000284217e-04
5.000000000000000000e+00,1.000000000000000000e+00,1.500000000000056843e-03
6.000000000000000000e+00,1.000000000000000000e+00,1.500000000000056843e-03
7.000000000000000000e+00,1.000000000000000000e+00,4.000000000000092024e-03
8.000000000000000000e+00,1.000000000000000000e+00,2.250000000000085265e-03
9.000000000000000000e+00,1.000000000000000000e+00,3.250000000000064036e-03
1.000000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00
1.100000000000000000e+01,1.000000000000000000e+00,7.500000000000284217e-04
1.200000000000000000e+01,1.000000000000000000e+00,2.250000000000085265e-03
1.300000000000000000e+01,1.000000000000000000e+00,2.250000000000085265e-03
1.400000000000000000e+01,1.000000000000000000e+00,4.000000000000092024e-03
1.500000000000000000e+01,1.000000000000000000e+00,4.749999999999943504e-03
1.600000000000000000e+01,1.000000000000000000e+00,4.749999999999943504e-03
1.700000000000000000e+01,1.000000000000000000e+00,6.250000000000000347e-03
1.800000000000000000e+01,1.000000000000000000e+00,4.749999999999943504e-03
1.900000000000000000e+01,1.000000000000000000e+00,8.000000000000007105e-03
2.000000000000000000e+01,1.000000000000000000e+00,9.500000000000063949e-03
2.100000000000000000e+01,1.000000000000000000e+00,8.000000000000007105e-03
2.200000000000000000e+01,1.000000000000000000e+00,1.125000000000007071e-02
2.300000000000000000e+01,1.000000000000000000e+00,1.125000000000007071e-02
2.400000000000000000e+01,1.000000000000000000e+00,1.274999999999995061e-02
2.500000000000000000e+01,1.000000000000000000e+00,1.524999999999998579e-02
2.600000000000000000e+01,1.000000000000000000e+00,1.349999999999997903e-02
2.700000000000000000e+01,1.000000000000000000e+00,1.600000000000001421e-02
2.800000000000000000e+01,1.000000000000000000e+00,2.100000000000008457e-02
2.900000000000000000e+01,1.000000000000000000e+00,2.000000000000010797e-02
3.000000000000000000e+01,1.000000000000000000e+00,2.000000000000010797e-02
3.100000000000000000e+01,1.000000000000000000e+00,2.100000000000008457e-02
3.200000000000000000e+01,1.000000000000000000e+00,2.100000000000008457e-02
3.300000000000000000e+01,1.000000000000000000e+00,2.324999999999999289e-02
3.400000000000000000e+01,1.000000000000000000e+00,2.575000000000002981e-02
3.500000000000000000e+01,1.000000000000000000e+00,2.650000000000005823e-02
3.600000000000000000e+01,1.000000000000000000e+00,2.900000000000009168e-02
3.700000000000000000e+01,1.000000000000000000e+00,2.900000000000009168e-02
3.800000000000000000e+01,1.000000000000000000e+00,3.125000000000000000e-02
3.900000000000000000e+01,1.000000000000000000e+00,3.300000000000000849e-02
4.000000000000000000e+01,1.000000000000000000e+00,3.450000000000006534e-02
4.100000000000000000e+01,1.000000000000000000e+00,3.625000000000007383e-02
4.200000000000000000e+01,1.000000000000000000e+00,3.700000000000010225e-02
4.300000000000000000e+01,1.000000000000000000e+00,3.774999999999995026e-02
4.400000000000000000e+01,1.000000000000000000e+00,4.024999999999998718e-02
4.500000000000000000e+01,1.000000000000000000e+00,4.275000000000002409e-02
4.600000000000000000e+01,1.000000000000000000e+00,4.500000000000010936e-02
4.700000000000000000e+01,1.000000000000000000e+00,4.574999999999995737e-02
4.800000000000000000e+01,1.000000000000000000e+00,4.500000000000010936e-02
4.900000000000000000e+01,1.000000000000000000e+00,4.749999999999996586e-02
5.000000000000000000e+01,1.000000000000000000e+00,5.150000000000005962e-02
5.100000000000000000e+01,1.000000000000000000e+00,5.400000000000008959e-02
5.200000000000000000e+01,1.000000000000000000e+00,5.299999999999993605e-02
5.300000000000000000e+01,1.000000000000000000e+00,5.474999999999994454e-02
5.400000000000000000e+01,1.000000000000000000e+00,5.299999999999993605e-02
5.500000000000000000e+01,1.000000000000000000e+00,5.950000000000006672e-02
5.600000000000000000e+01,1.000000000000000000e+00,5.950000000000006672e-02
5.700000000000000000e+01,1.000000000000000000e+00,6.200000000000009670e-02
5.800000000000000000e+01,1.000000000000000000e+00,6.274999999999994471e-02
5.900000000000000000e+01,1.000000000000000000e+00,6.274999999999994471e-02
6.000000000000000000e+01,1.000000000000000000e+00,6.449999999999996014e-02
6.100000000000000000e+01,1.000000000000000000e+00,6.925000000000007538e-02
6.200000000000000000e+01,1.000000000000000000e+00,6.925000000000007538e-02
6.300000000000000000e+01,1.000000000000000000e+00,7.000000000000010381e-02
6.400000000000000000e+01,1.000000000000000000e+00,7.249999999999996725e-02
6.500000000000000000e+01,1.000000000000000000e+00,7.475000000000005251e-02
6.600000000000000000e+01,1.000000000000000000e+00,7.324999999999999567e-02
6.700000000000000000e+01,1.000000000000000000e+00,7.725000000000008249e-02
6.800000000000000000e+01,1.000000000000000000e+00,7.799999999999993050e-02
6.900000000000000000e+01,1.000000000000000000e+00,7.900000000000009792e-02
7.000000000000000000e+01,1.000000000000000000e+00,7.799999999999993050e-02
7.100000000000000000e+01,1.000000000000000000e+00,8.375000000000003275e-02
7.200000000000000000e+01,1.000000000000000000e+00,8.525000000000008959e-02
7.300000000000000000e+01,1.000000000000000000e+00,8.525000000000008959e-02
7.400000000000000000e+01,1.000000000000000000e+00,8.525000000000008959e-02
7.500000000000000000e+01,1.000000000000000000e+00,8.849999999999998146e-02
7.600000000000000000e+01,1.000000000000000000e+00,9.024999999999998301e-02
7.700000000000000000e+01,1.000000000000000000e+00,9.250000000000006828e-02
7.800000000000000000e+01,1.000000000000000000e+00,9.250000000000006828e-02
7.900000000000000000e+01,1.000000000000000000e+00,9.500000000000011213e-02
8.000000000000000000e+01,1.000000000000000000e+00,9.649999999999998856e-02
8.100000000000000000e+01,1.000000000000000000e+00,1.007500000000000340e-01
8.200000000000000000e+01,1.000000000000000000e+00,9.975000000000004696e-02
8.300000000000000000e+01,1.000000000000000000e+00,1.022500000000000908e-01
8.400000000000000000e+01,1.000000000000000000e+00,1.015000000000000624e-01
8.500000000000000000e+01,1.000000000000000000e+00,1.037499999999999672e-01
8.600000000000000000e+01,1.000000000000000000e+00,1.047499999999999404e-01
8.700000000000000000e+01,1.000000000000000000e+00,1.070000000000000256e-01
8.800000000000000000e+01,1.000000000000000000e+00,1.087500000000000411e-01
8.900000000000000000e+01,1.000000000000000000e+00,1.102500000000000979e-01
9.000000000000000000e+01,1.000000000000000000e+00,1.095000000000000695e-01
9.100000000000000000e+01,1.000000000000000000e+00,1.102500000000000979e-01
9.200000000000000000e+01,1.000000000000000000e+00,1.120000000000000995e-01
9.300000000000000000e+01,1.000000000000000000e+00,1.152499999999999913e-01
9.400000000000000000e+01,1.000000000000000000e+00,1.167500000000000482e-01
9.500000000000000000e+01,1.000000000000000000e+00,1.175000000000000766e-01
9.600000000000000000e+01,1.000000000000000000e+00,1.175000000000000766e-01
9.700000000000000000e+01,1.000000000000000000e+00,1.182500000000001050e-01
9.800000000000000000e+01,1.000000000000000000e+00,1.224999999999999700e-01
9.900000000000000000e+01,1.000000000000000000e+00,1.247500000000000553e-01
1.000000000000000000e+02,1.000000000000000000e+00,1.247500000000000553e-01
1.010000000000000000e+02,1.000000000000000000e+00,1.255000000000000837e-01
1.020000000000000000e+02,1.000000000000000000e+00,1.255000000000000837e-01
1.030000000000000000e+02,1.000000000000000000e+00,1.297499999999999487e-01
1.040000000000000000e+02,1.000000000000000000e+00,1.297499999999999487e-01
1.050000000000000000e+02,1.000000000000000000e+00,1.312500000000000056e-01
1.060000000000000000e+02,1.000000000000000000e+00,1.327500000000000624e-01
1.070000000000000000e+02,1.000000000000000000e+00,1.337500000000000355e-01
1.080000000000000000e+02,1.000000000000000000e+00,1.345000000000000639e-01
1.090000000000000000e+02,1.000000000000000000e+00,1.359999999999999543e-01
1.100000000000000000e+02,1.000000000000000000e+00,1.384999999999999842e-01
1.110000000000000000e+02,1.000000000000000000e+00,1.377499999999999558e-01
1.120000000000000000e+02,1.000000000000000000e+00,1.384999999999999842e-01
1.130000000000000000e+02,1.000000000000000000e+00,1.417500000000000426e-01
1.140000000000000000e+02,1.000000000000000000e+00,1.417500000000000426e-01
1.150000000000000000e+02,1.000000000000000000e+00,1.425000000000000711e-01
1.160000000000000000e+02,1.000000000000000000e+00,1.442500000000000726e-01
1.170000000000000000e+02,1.000000000000000000e+00,1.472500000000000198e-01
1.180000000000000000e+02,1.000000000000000000e+00,1.457499999999999629e-01
1.190000000000000000e+02,1.000000000000000000e+00,1.472500000000000198e-01
1.200000000000000000e+02,1.000000000000000000e+00,1.497500000000000497e-01
1.210000000000000000e+02,1.000000000000000000e+00,1.497500000000000497e-01
1.220000000000000000e+02,1.000000000000000000e+00,1.505000000000000782e-01
1.230000000000000000e+02,1.000000000000000000e+00,1.505000000000000782e-01
1.240000000000000000e+02,1.000000000000000000e+00,1.537499999999999700e-01
1.250000000000000000e+02,1.000000000000000000e+00,1.522500000000000797e-01
1.260000000000000000e+02,1.000000000000000000e+00,1.554999999999999716e-01
1.270000000000000000e+02,1.000000000000000000e+00,1.562500000000000000e-01
1.280000000000000000e+02,1.000000000000000000e+00,1.577500000000000568e-01
1.290000000000000000e+02,1.000000000000000000e+00,1.577500000000000568e-01
1.300000000000000000e+02,1.000000000000000000e+00,1.595000000000000584e-01
1.310000000000000000e+02,1.000000000000000000e+00,1.609999999999999487e-01
1.320000000000000000e+02,1.000000000000000000e+00,1.602500000000000868e-01
1.330000000000000000e+02,1.000000000000000000e+00,1.617499999999999771e-01
1.340000000000000000e+02,1.000000000000000000e+00,1.617499999999999771e-01
1.350000000000000000e+02,1.000000000000000000e+00,1.642500000000000071e-01
1.360000000000000000e+02,1.000000000000000000e+00,1.667500000000000371e-01
1.370000000000000000e+02,1.000000000000000000e+00,1.660000000000000087e-01
1.380000000000000000e+02,1.000000000000000000e+00,1.700000000000000955e-01
1.390000000000000000e+02,1.000000000000000000e+00,1.675000000000000655e-01
1.400000000000000000e+02,1.000000000000000000e+00,1.682500000000000939e-01
1.410000000000000000e+02,1.000000000000000000e+00,1.714999999999999858e-01
1.420000000000000000e+02,1.000000000000000000e+00,1.714999999999999858e-01
1.430000000000000000e+02,1.000000000000000000e+00,1.722500000000000142e-01
1.440000000000000000e+02,1.000000000000000000e+00,1.732499999999999873e-01
1.450000000000000000e+02,1.000000000000000000e+00,1.740000000000000158e-01
1.460000000000000000e+02,1.000000000000000000e+00,1.747500000000000442e-01
1.470000000000000000e+02,1.000000000000000000e+00,1.772500000000000742e-01
1.480000000000000000e+02,1.000000000000000000e+00,1.779999999999999361e-01
1.490000000000000000e+02,1.000000000000000000e+00,1.812499999999999944e-01
1.500000000000000000e+02,1.000000000000000000e+00,1.812499999999999944e-01
1.510000000000000000e+02,1.000000000000000000e+00,1.812499999999999944e-01
1.520000000000000000e+02,1.000000000000000000e+00,1.820000000000000229e-01
1.530000000000000000e+02,1.000000000000000000e+00,1.820000000000000229e-01
1.540000000000000000e+02,1.000000000000000000e+00,1.820000000000000229e-01
1.550000000000000000e+02,1.000000000000000000e+00,1.820000000000000229e-01
1.560000000000000000e+02,1.000000000000000000e+00,1.852500000000000813e-01
1.570000000000000000e+02,1.000000000000000000e+00,1.827500000000000513e-01
1.580000000000000000e+02,1.000000000000000000e+00,1.877499999999999447e-01
1.590000000000000000e+02,1.000000000000000000e+00,1.892500000000000016e-01
1.600000000000000000e+02,1.000000000000000000e+00,1.892500000000000016e-01
1.610000000000000000e+02,1.000000000000000000e+00,1.900000000000000300e-01
1.620000000000000000e+02,1.000000000000000000e+00,1.900000000000000300e-01
1.630000000000000000e+02,1.000000000000000000e+00,1.900000000000000300e-01
1.640000000000000000e+02,1.000000000000000000e+00,1.932500000000000884e-01
1.650000000000000000e+02,1.000000000000000000e+00,1.950000000000001177e-01
1.660000000000000000e+02,1.000000000000000000e+00,1.939999999999999503e-01
1.670000000000000000e+02,1.000000000000000000e+00,1.972500000000000087e-01
1.680000000000000000e+02,1.000000000000000000e+00,1.980000000000000371e-01
1.690000000000000000e+02,1.000000000000000000e+00,1.980000000000000371e-01
1.700000000000000000e+02,1.000000000000000000e+00,1.997500000000000386e-01
1.710000000000000000e+02,1.000000000000000000e+00,1.980000000000000371e-01
1.720000000000000000e+02,1.000000000000000000e+00,1.997500000000000386e-01
1.730000000000000000e+02,1.000000000000000000e+00,1.980000000000000371e-01
1.740000000000000000e+02,1.000000000000000000e+00,2.022500000000000964e-01
1.750000000000000000e+02,1.000000000000000000e+00,2.029999999999999305e-01
1.760000000000000000e+02,1.000000000000000000e+00,2.044999999999999873e-01
1.770000000000000000e+02,1.000000000000000000e+00,2.062499999999999889e-01
1.780000000000000000e+02,1.000000000000000000e+00,2.044999999999999873e-01
1.790000000000000000e+02,1.000000000000000000e+00,2.044999999999999873e-01
1.800000000000000000e+02,1.000000000000000000e+00,2.062499999999999889e-01
1.810000000000000000e+02,1.000000000000000000e+00,2.062499999999999889e-01
1.820000000000000000e+02,1.000000000000000000e+00,2.102500000000001035e-01
1.830000000000000000e+02,1.000000000000000000e+00,2.109999999999999376e-01
1.840000000000000000e+02,1.000000000000000000e+00,2.070000000000000173e-01
1.850000000000000000e+02,1.000000000000000000e+00,2.109999999999999376e-01
1.860000000000000000e+02,1.000000000000000000e+00,2.124999999999999944e-01
1.870000000000000000e+02,1.000000000000000000e+00,2.142499999999999960e-01
1.880000000000000000e+02,1.000000000000000000e+00,2.142499999999999960e-01
1.890000000000000000e+02,1.000000000000000000e+00,2.142499999999999960e-01
1.900000000000000000e+02,1.000000000000000000e+00,2.150000000000000244e-01
1.910000000000000000e+02,1.000000000000000000e+00,2.167500000000000537e-01
1.920000000000000000e+02,1.000000000000000000e+00,2.167500000000000537e-01
1.930000000000000000e+02,1.000000000000000000e+00,2.175000000000000822e-01
1.940000000000000000e+02,1.000000000000000000e+00,2.189999999999999447e-01
1.950000000000000000e+02,1.000000000000000000e+00,2.197499999999999731e-01
1.960000000000000000e+02,1.000000000000000000e+00,2.207499999999999463e-01
1.970000000000000000e+02,1.000000000000000000e+00,2.214999999999999747e-01
1.980000000000000000e+02,1.000000000000000000e+00,2.222500000000000031e-01
1.990000000000000000e+02,1.000000000000000000e+00,2.222500000000000031e-01
2.000000000000000000e+02,1.000000000000000000e+00,2.230000000000000315e-01
2.010000000000000000e+02,1.000000000000000000e+00,2.230000000000000315e-01
2.020000000000000000e+02,1.000000000000000000e+00,2.247500000000000608e-01
2.030000000000000000e+02,1.000000000000000000e+00,2.247500000000000608e-01
2.040000000000000000e+02,1.000000000000000000e+00,2.287499999999999534e-01
2.050000000000000000e+02,1.000000000000000000e+00,2.262500000000001177e-01
2.060000000000000000e+02,1.000000000000000000e+00,2.262500000000001177e-01
2.070000000000000000e+02,1.000000000000000000e+00,2.287499999999999534e-01
2.080000000000000000e+02,1.000000000000000000e+00,2.302500000000000102e-01
2.090000000000000000e+02,1.000000000000000000e+00,2.302500000000000102e-01
2.100000000000000000e+02,1.000000000000000000e+00,2.302500000000000102e-01
2.110000000000000000e+02,1.000000000000000000e+00,2.294999999999999818e-01
2.120000000000000000e+02,1.000000000000000000e+00,2.302500000000000102e-01
2.130000000000000000e+02,1.000000000000000000e+00,2.302500000000000102e-01
2.140000000000000000e+02,1.000000000000000000e+00,2.302500000000000102e-01
2.150000000000000000e+02,1.000000000000000000e+00,2.327500000000000679e-01
2.160000000000000000e+02,1.000000000000000000e+00,2.335000000000000964e-01
2.170000000000000000e+02,1.000000000000000000e+00,2.335000000000000964e-01
2.180000000000000000e+02,1.000000000000000000e+00,2.384999999999999898e-01
2.190000000000000000e+02,1.000000000000000000e+00,2.367499999999999605e-01
2.200000000000000000e+02,1.000000000000000000e+00,2.384999999999999898e-01
2.210000000000000000e+02,1.000000000000000000e+00,2.384999999999999898e-01
2.220000000000000000e+02,1.000000000000000000e+00,2.400000000000000466e-01
