t,MV,MVP,MVI,MVD,PV,SP,DV,Man
0.000000000000000000e+00,5.000000000000000000e+01,3.452423602525857405e+01,1.547576397474142595e+01,0.000000000000000000e+00,4.042999999999999972e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.000000000000000000e+00,5.000000000000000000e+01,3.452423602525857405e+01,1.547576397474142595e+01,0.000000000000000000e+00,4.042999999999999972e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.000000000000000000e+00,5.000000000000000000e+01,3.504794088911898342e+01,1.446260216480574989e+01,4.894569460752664081e-01,4.029999999999999716e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.000000000000000000e+00,5.000000000000000000e+01,3.557164575297936437e+01,1.348144861449366516e+01,9.469056325269700203e-01,4.017000000000000171e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.000000000000000000e+00,5.000000000000000000e+01,3.557164575297936437e+01,1.354337193904334136e+01,8.849823079772942691e-01,4.017000000000000171e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
5.000000000000000000e+00,5.000000000000000000e+01,3.569250072156253850e+01,1.336743918809395559e+01,9.400600903435066824e-01,4.014000000000000057e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
6.000000000000000000e+00,5.000000000000000000e+01,3.569250072156253850e+01,1.342891484529877211e+01,8.785844331386897244e-01,4.014000000000000057e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
7.000000000000000000e+00,5.000000000000000000e+01,3.581335569014571263e+01,1.325256370241416981e+01,9.340806074401173387e-01,4.010999999999999943e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
8.000000000000000000e+00,5.000000000000000000e+01,3.621620558542294788e+01,1.253429309020263105e+01,1.249501324374420186e+00,4.000999999999999801e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
9.000000000000000000e+00,5.000000000000000000e+01,3.649820051211700900e+01,1.207045613077126234e+01,1.431343357111729553e+00,3.993999999999999773e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.000000000000000000e+01,5.000000000000000000e+01,3.661905548070018313e+01,1.193025290914843062e+01,1.450691610151386701e+00,3.990999999999999659e+01,4.900000000000000000e+01,6.000000000000000000e+01,1.000000000000000000e+00
