t,MV,PV,DV
0.000000000000000000e+00,3.000000000000000000e+01,6.278999999999999915e+01,5.000000000000000000e+01
1.000000000000000000e+00,3.000000000000000000e+01,6.282999999999999829e+01,5.000000000000000000e+01
2.000000000000000000e+00,3.000000000000000000e+01,6.282999999999999829e+01,5.000000000000000000e+01
3.000000000000000000e+00,3.000000000000000000e+01,6.289000000000000057e+01,5.000000000000000000e+01
4.000000000000000000e+00,3.000000000000000000e+01,6.289000000000000057e+01,5.000000000000000000e+01
5.000000000000000000e+00,3.000000000000000000e+01,6.289000000000000057e+01,5.000000000000000000e+01
6.000000000000000000e+00,3.000000000000000000e+01,6.299000000000000199e+01,5.000000000000000000e+01
7.000000000000000000e+00,3.000000000000000000e+01,6.295000000000000284e+01,5.000000000000000000e+01
8.000000000000000000e+00,3.000000000000000000e+01,6.295000000000000284e+01,5.000000000000000000e+01
9.000000000000000000e+00,3.000000000000000000e+01,6.302000000000000313e+01,5.000000000000000000e+01
1.000000000000000000e+01,7.000000000000000000e+01,6.307999999999999829e+01,5.000000000000000000e+01
1.100000000000000000e+01,7.000000000000000000e+01,6.307999999999999829e+01,5.000000000000000000e+01
1.200000000000000000e+01,7.000000000000000000e+01,6.311999999999999744e+01,5.000000000000000000e+01
1.300000000000000000e+01,7.000000000000000000e+01,6.311999999999999744e+01,5.000000000000000000e+01
1.400000000000000000e+01,7.000000000000000000e+01,6.311999999999999744e+01,5.000000000000000000e+01
1.500000000000000000e+01,7.000000000000000000e+01,6.311999999999999744e+01,5.000000000000000000e+01
1.600000000000000000e+01,7.000000000000000000e+01,6.321000000000000085e+01,5.000000000000000000e+01
1.700000000000000000e+01,7.000000000000000000e+01,6.328000000000000114e+01,5.000000000000000000e+01
1.800000000000000000e+01,7.000000000000000000e+01,6.334000000000000341e+01,5.000000000000000000e+01
1.900000000000000000e+01,7.000000000000000000e+01,6.343999999999999773e+01,5.000000000000000000e+01
2.000000000000000000e+01,7.000000000000000000e+01,6.346999999999999886e+01,5.000000000000000000e+01
2.100000000000000000e+01,7.000000000000000000e+01,6.370000000000000284e+01,5.000000000000000000e+01
2.200000000000000000e+01,7.000000000000000000e+01,6.375999999999999801e+01,5.000000000000000000e+01
2.300000000000000000e+01,7.000000000000000000e+01,6.385999999999999943e+01,5.000000000000000000e+01
2.400000000000000000e+01,7.000000000000000000e+01,6.407999999999999829e+01,5.000000000000000000e+01
2.500000000000000000e+01,7.000000000000000000e+01,6.437000000000000455e+01,5.000000000000000000e+01
2.600000000000000000e+01,7.000000000000000000e+01,6.443999999999999773e+01,5.000000000000000000e+01
2.700000000000000000e+01,7.000000000000000000e+01,6.473000000000000398e+01,5.000000000000000000e+01
2.800000000000000000e+01,7.000000000000000000e+01,6.481999999999999318e+01,5.000000000000000000e+01
2.900000000000000000e+01,7.000000000000000000e+01,6.504999999999999716e+01,5.000000000000000000e+01
3.000000000000000000e+01,7.000000000000000000e+01,6.518000000000000682e+01,5.000000000000000000e+01
