t,MV,MVP,MVI,MVD,PV,SP,DV,Man
0.000000000000000000e+00,5.000000000000000000e+01,5.607670542259036495e+01,-6.076705422590364947e+00,0.000000000000000000e+00,3.507999999999999829e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.000000000000000000e+00,5.000000000000000000e+01,5.700326018172797404e+01,-7.855292707296522181e+00,8.520325255685479160e-01,3.485000000000000142e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.000000000000000000e+00,5.000000000000000000e+01,5.712411515031114817e+01,-8.018753897305087364e+00,8.946387469939389714e-01,3.482000000000000028e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.000000000000000000e+00,5.000000000000000000e+01,5.736582508747749642e+01,-8.410777940768904060e+00,1.044952853291408079e+00,3.475999999999999801e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.000000000000000000e+00,5.000000000000000000e+01,5.829237984661511263e+01,-1.010532030548121440e+01,1.812940458866101778e+00,3.453000000000000114e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
5.000000000000000000e+00,5.000000000000000000e+01,5.829237984661511263e+01,-9.959506611266121467e+00,1.667126764651008175e+00,3.453000000000000114e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
6.000000000000000000e+00,5.000000000000000711e+01,5.829237984661511263e+01,-9.825420623450138891e+00,1.533040776835026486e+00,3.453000000000000114e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
7.000000000000000000e+00,5.000000000000000000e+01,5.805066990944876437e+01,-9.238139798105441614e+00,1.187469888656677686e+00,3.459000000000000341e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
8.000000000000000000e+00,5.000000000000000000e+01,5.869522974189234787e+01,-1.037991043107097688e+01,1.684680689178629454e+00,3.442999999999999972e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
9.000000000000000000e+00,5.000000000000000000e+01,5.817152487803193850e+01,-9.239124126554060012e+00,1.067599248522121069e+00,3.456000000000000227e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.000000000000000000e+01,5.000000000000000000e+01,5.829237984661511263e+01,-9.385247416649816543e+00,1.092867570034703251e+00,3.453000000000000114e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.100000000000000000e+01,5.000000000000000000e+01,5.869522974189234787e+01,-1.007064756468013123e+01,1.375417822787783351e+00,3.442999999999999972e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.200000000000000000e+01,5.000000000000000000e+01,5.805066990944876437e+01,-8.722745437855213169e+00,6.720755284064492407e-01,3.459000000000000341e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.300000000000000000e+01,5.000000000000000000e+01,5.905779464764184183e+01,-1.060193786203514499e+01,1.544143214393303598e+00,3.434000000000000341e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.400000000000000000e+01,5.000000000000000000e+01,5.869522974189234787e+01,-9.781774428585036318e+00,1.086544686692689110e+00,3.442999999999999972e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.500000000000000000e+01,5.000000000000000000e+01,5.881608471047552200e+01,-9.926373948655879076e+00,1.110289238180357296e+00,3.439999999999999858e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.600000000000000000e+01,5.000000000000000000e+01,5.869522974189234787e+01,-9.605084417285311815e+00,9.098546753929630526e-01,3.442999999999999972e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.700000000000000000e+01,5.000000000000000711e+01,5.881608471047552200e+01,-9.763895007086833999e+00,9.478102966113126637e-01,3.439999999999999858e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.800000000000000000e+01,5.000000000000000000e+01,5.905779464764184183e+01,-1.015164249527878226e+01,1.093847847636940429e+00,3.434000000000000341e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.900000000000000000e+01,5.000000000000000000e+01,5.869522974189234787e+01,-9.367696043248875171e+00,6.724663013565277403e-01,3.442999999999999972e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.000000000000000000e+01,5.000000000000000000e+01,5.893693967905869613e+01,-9.777589280867836408e+00,8.406496018091401679e-01,3.436999999999999744e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.100000000000000000e+01,5.000000000000000000e+01,5.764782001417155755e+01,-7.235420124453352919e+00,-4.123998897182048484e-01,3.468999999999999773e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.200000000000000000e+01,5.000000000000000000e+01,5.853408978378146088e+01,-8.969846598554907402e+00,4.357568147734471875e-01,3.446999999999999886e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.300000000000000000e+01,5.000000000000000000e+01,5.736582508747749642e+01,-6.692232367625506662e+00,-6.735927198519894299e-01,3.475999999999999801e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.400000000000000000e+01,5.000000000000000000e+01,5.736582508747749642e+01,-6.746409018820903825e+00,-6.194160686565928220e-01,3.475999999999999801e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.500000000000000000e+01,5.000000000000000000e+01,5.752696504558838342e+01,-7.105547802813211078e+00,-4.214172427751721184e-01,3.471999999999999886e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.600000000000000000e+01,5.000000000000000000e+01,5.841323481519828675e+01,-8.840699537115590090e+00,4.274647219173033363e-01,3.450000000000000000e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
