tm,DVm,PVm
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,2.500000000000035614e-03
2.000000000000000000e+00,1.000000000000000000e+00,9.999999999999787705e-04
3.000000000000000000e+00,1.000000000000000000e+00,5.000000000000071228e-03
4.000000000000000000e+00,1.000000000000000000e+00,3.250000000000064036e-03
5.000000000000000000e+00,1.000000000000000000e+00,2.500000000000035614e-03
6.000000000000000000e+00,1.000000000000000000e+00,9.999999999999787705e-04
7.000000000000000000e+00,1.000000000000000000e+00,3.250000000000064036e-03
8.000000000000000000e+00,1.000000000000000000e+00,2.500000000000035614e-03
9.000000000000000000e+00,1.000000000000000000e+00,3.250000000000064036e-03
1.000000000000000000e+01,1.000000000000000000e+00,5.000000000000071228e-03
1.100000000000000000e+01,1.000000000000000000e+00,3.250000000000064036e-03
1.200000000000000000e+01,1.000000000000000000e+00,5.000000000000071228e-03
1.300000000000000000e+01,1.000000000000000000e+00,5.000000000000071228e-03
1.400000000000000000e+01,1.000000000000000000e+00,5.000000000000071228e-03
1.500000000000000000e+01,1.000000000000000000e+00,5.750000000000099649e-03
1.600000000000000000e+01,1.000000000000000000e+00,4.000000000000092024e-03
1.700000000000000000e+01,1.000000000000000000e+00,5.000000000000071228e-03
1.800000000000000000e+01,1.000000000000000000e+00,4.000000000000092024e-03
1.900000000000000000e+01,1.000000000000000000e+00,5.000000000000071228e-03
2.000000000000000000e+01,1.000000000000000000e+00,5.000000000000071228e-03
2.100000000000000000e+01,1.000000000000000000e+00,4.000000000000092024e-03
2.200000000000000000e+01,1.000000000000000000e+00,5.750000000000099649e-03
2.300000000000000000e+01,1.000000000000000000e+00,5.750000000000099649e-03
2.400000000000000000e+01,1.000000000000000000e+00,5.750000000000099649e-03
2.500000000000000000e+01,1.000000000000000000e+00,5.750000000000099649e-03
2.600000000000000000e+01,1.000000000000000000e+00,5.000000000000071228e-03
2.700000000000000000e+01,1.000000000000000000e+00,6.500000000000128071e-03
2.800000000000000000e+01,1.000000000000000000e+00,5.750000000000099649e-03
2.900000000000000000e+01,1.000000000000000000e+00,5.750000000000099649e-03
3.000000000000000000e+01,1.000000000000000000e+00,5.750000000000099649e-03
3.100000000000000000e+01,1.000000000000000000e+00,5.000000000000071228e-03
3.200000000000000000e+01,1.000000000000000000e+00,5.750000000000099649e-03
3.300000000000000000e+01,1.000000000000000000e+00,5.750000000000099649e-03
3.400000000000000000e+01,1.000000000000000000e+00,5.750000000000099649e-03
3.500000000000000000e+01,1.000000000000000000e+00,5.750000000000099649e-03
3.600000000000000000e+01,1.000000000000000000e+00,5.750000000000099649e-03
3.700000000000000000e+01,1.000000000000000000e+00,8.999999999999985442e-03
3.800000000000000000e+01,1.000000000000000000e+00,5.750000000000099649e-03
3.900000000000000000e+01,1.000000000000000000e+00,8.999999999999985442e-03
4.000000000000000000e+01,1.000000000000000000e+00,5.750000000000099649e-03
4.100000000000000000e+01,1.000000000000000000e+00,8.249999999999957020e-03
4.200000000000000000e+01,1.000000000000000000e+00,8.249999999999957020e-03
4.300000000000000000e+01,1.000000000000000000e+00,6.500000000000128071e-03
4.400000000000000000e+01,1.000000000000000000e+00,7.249999999999978684e-03
4.500000000000000000e+01,1.000000000000000000e+00,8.249999999999957020e-03
4.600000000000000000e+01,1.000000000000000000e+00,9.750000000000013864e-03
4.700000000000000000e+01,1.000000000000000000e+00,1.050000000000004229e-02
4.800000000000000000e+01,1.000000000000000000e+00,7.249999999999978684e-03
4.900000000000000000e+01,1.000000000000000000e+00,1.050000000000004229e-02
5.000000000000000000e+01,1.000000000000000000e+00,1.300000000000007747e-02
5.100000000000000000e+01,1.000000000000000000e+00,1.375000000000010589e-02
5.200000000000000000e+01,1.000000000000000000e+00,1.300000000000007747e-02
5.300000000000000000e+01,1.000000000000000000e+00,1.375000000000010589e-02
5.400000000000000000e+01,1.000000000000000000e+00,1.375000000000010589e-02
5.500000000000000000e+01,1.000000000000000000e+00,1.375000000000010589e-02
5.600000000000000000e+01,1.000000000000000000e+00,1.375000000000010589e-02
5.700000000000000000e+01,1.000000000000000000e+00,1.550000000000011438e-02
5.800000000000000000e+01,1.000000000000000000e+00,1.624999999999996586e-02
5.900000000000000000e+01,1.000000000000000000e+00,1.699999999999999428e-02
6.000000000000000000e+01,1.000000000000000000e+00,1.449999999999995737e-02
6.100000000000000000e+01,1.000000000000000000e+00,2.175000000000011299e-02
6.200000000000000000e+01,1.000000000000000000e+00,2.025000000000005615e-02
6.300000000000000000e+01,1.000000000000000000e+00,2.175000000000011299e-02
6.400000000000000000e+01,1.000000000000000000e+00,1.950000000000002773e-02
6.500000000000000000e+01,1.000000000000000000e+00,2.025000000000005615e-02
6.600000000000000000e+01,1.000000000000000000e+00,2.100000000000008457e-02
6.700000000000000000e+01,1.000000000000000000e+00,2.175000000000011299e-02
6.800000000000000000e+01,1.000000000000000000e+00,2.175000000000011299e-02
6.900000000000000000e+01,1.000000000000000000e+00,2.175000000000011299e-02
7.000000000000000000e+01,1.000000000000000000e+00,2.275000000000009306e-02
7.100000000000000000e+01,1.000000000000000000e+00,2.275000000000009306e-02
7.200000000000000000e+01,1.000000000000000000e+00,2.175000000000011299e-02
7.300000000000000000e+01,1.000000000000000000e+00,2.575000000000002981e-02
7.400000000000000000e+01,1.000000000000000000e+00,2.350000000000012149e-02
7.500000000000000000e+01,1.000000000000000000e+00,3.000000000000007175e-02
7.600000000000000000e+01,1.000000000000000000e+00,2.675000000000000641e-02
7.700000000000000000e+01,1.000000000000000000e+00,2.900000000000009168e-02
7.800000000000000000e+01,1.000000000000000000e+00,2.900000000000009168e-02
7.900000000000000000e+01,1.000000000000000000e+00,3.000000000000007175e-02
8.000000000000000000e+01,1.000000000000000000e+00,3.000000000000007175e-02
8.100000000000000000e+01,1.000000000000000000e+00,3.075000000000010017e-02
8.200000000000000000e+01,1.000000000000000000e+00,3.000000000000007175e-02
8.300000000000000000e+01,1.000000000000000000e+00,3.300000000000000849e-02
8.400000000000000000e+01,1.000000000000000000e+00,3.075000000000010017e-02
8.500000000000000000e+01,1.000000000000000000e+00,3.300000000000000849e-02
8.600000000000000000e+01,1.000000000000000000e+00,3.475000000000001699e-02
8.700000000000000000e+01,1.000000000000000000e+00,3.550000000000004541e-02
8.800000000000000000e+01,1.000000000000000000e+00,3.800000000000007538e-02
8.900000000000000000e+01,1.000000000000000000e+00,3.550000000000004541e-02
9.000000000000000000e+01,1.000000000000000000e+00,3.800000000000007538e-02
9.100000000000000000e+01,1.000000000000000000e+00,3.875000000000010381e-02
9.200000000000000000e+01,1.000000000000000000e+00,3.800000000000007538e-02
9.300000000000000000e+01,1.000000000000000000e+00,3.949999999999995876e-02
9.400000000000000000e+01,1.000000000000000000e+00,3.949999999999995876e-02
9.500000000000000000e+01,1.000000000000000000e+00,4.024999999999998718e-02
9.600000000000000000e+01,1.000000000000000000e+00,4.199999999999999567e-02
9.700000000000000000e+01,1.000000000000000000e+00,4.275000000000002409e-02
9.800000000000000000e+01,1.000000000000000000e+00,4.450000000000002565e-02
9.900000000000000000e+01,1.000000000000000000e+00,4.350000000000005251e-02
1.000000000000000000e+02,1.000000000000000000e+00,4.600000000000008249e-02
1.010000000000000000e+02,1.000000000000000000e+00,4.525000000000005407e-02
1.020000000000000000e+02,1.000000000000000000e+00,4.600000000000008249e-02
1.030000000000000000e+02,1.000000000000000000e+00,4.600000000000008249e-02
1.040000000000000000e+02,1.000000000000000000e+00,4.749999999999996586e-02
1.050000000000000000e+02,1.000000000000000000e+00,4.749999999999996586e-02
1.060000000000000000e+02,1.000000000000000000e+00,4.924999999999997435e-02
1.070000000000000000e+02,1.000000000000000000e+00,4.749999999999996586e-02
1.080000000000000000e+02,1.000000000000000000e+00,5.400000000000008959e-02
1.090000000000000000e+02,1.000000000000000000e+00,5.400000000000008959e-02
1.100000000000000000e+02,1.000000000000000000e+00,5.325000000000006117e-02
1.110000000000000000e+02,1.000000000000000000e+00,5.400000000000008959e-02
1.120000000000000000e+02,1.000000000000000000e+00,5.400000000000008959e-02
1.130000000000000000e+02,1.000000000000000000e+00,5.400000000000008959e-02
1.140000000000000000e+02,1.000000000000000000e+00,5.475000000000011802e-02
1.150000000000000000e+02,1.000000000000000000e+00,5.400000000000008959e-02
1.160000000000000000e+02,1.000000000000000000e+00,5.650000000000012651e-02
1.170000000000000000e+02,1.000000000000000000e+00,5.575000000000009809e-02
1.180000000000000000e+02,1.000000000000000000e+00,5.899999999999998301e-02
1.190000000000000000e+02,1.000000000000000000e+00,5.975000000000001144e-02
1.200000000000000000e+02,1.000000000000000000e+00,6.125000000000006828e-02
1.210000000000000000e+02,1.000000000000000000e+00,6.200000000000009670e-02
1.220000000000000000e+02,1.000000000000000000e+00,6.125000000000006828e-02
1.230000000000000000e+02,1.000000000000000000e+00,6.200000000000009670e-02
1.240000000000000000e+02,1.000000000000000000e+00,6.200000000000009670e-02
1.250000000000000000e+02,1.000000000000000000e+00,6.300000000000008371e-02
1.260000000000000000e+02,1.000000000000000000e+00,6.624999999999996170e-02
1.270000000000000000e+02,1.000000000000000000e+00,6.449999999999996014e-02
1.280000000000000000e+02,1.000000000000000000e+00,6.925000000000007538e-02
1.290000000000000000e+02,1.000000000000000000e+00,6.775000000000001854e-02
1.300000000000000000e+02,1.000000000000000000e+00,6.850000000000004696e-02
1.310000000000000000e+02,1.000000000000000000e+00,7.025000000000006239e-02
1.320000000000000000e+02,1.000000000000000000e+00,6.925000000000007538e-02
1.330000000000000000e+02,1.000000000000000000e+00,6.925000000000007538e-02
1.340000000000000000e+02,1.000000000000000000e+00,7.025000000000006239e-02
1.350000000000000000e+02,1.000000000000000000e+00,7.025000000000006239e-02
1.360000000000000000e+02,1.000000000000000000e+00,7.175000000000011924e-02
1.370000000000000000e+02,1.000000000000000000e+00,7.100000000000009082e-02
1.380000000000000000e+02,1.000000000000000000e+00,7.350000000000012079e-02
1.390000000000000000e+02,1.000000000000000000e+00,7.249999999999996725e-02
1.400000000000000000e+02,1.000000000000000000e+00,7.750000000000004108e-02
1.410000000000000000e+02,1.000000000000000000e+00,7.825000000000006950e-02
1.420000000000000000e+02,1.000000000000000000e+00,7.825000000000006950e-02
1.430000000000000000e+02,1.000000000000000000e+00,7.750000000000004108e-02
1.440000000000000000e+02,1.000000000000000000e+00,7.825000000000006950e-02
1.450000000000000000e+02,1.000000000000000000e+00,7.825000000000006950e-02
1.460000000000000000e+02,1.000000000000000000e+00,7.900000000000009792e-02
1.470000000000000000e+02,1.000000000000000000e+00,7.900000000000009792e-02
1.480000000000000000e+02,1.000000000000000000e+00,8.150000000000012790e-02
1.490000000000000000e+02,1.000000000000000000e+00,8.075000000000009948e-02
1.500000000000000000e+02,1.000000000000000000e+00,8.224999999999997591e-02
1.510000000000000000e+02,1.000000000000000000e+00,8.475000000000001976e-02
1.520000000000000000e+02,1.000000000000000000e+00,8.550000000000004818e-02
1.530000000000000000e+02,1.000000000000000000e+00,8.625000000000007661e-02
1.540000000000000000e+02,1.000000000000000000e+00,8.625000000000007661e-02
1.550000000000000000e+02,1.000000000000000000e+00,8.625000000000007661e-02
1.560000000000000000e+02,1.000000000000000000e+00,8.700000000000010503e-02
1.570000000000000000e+02,1.000000000000000000e+00,8.800000000000007816e-02
1.580000000000000000e+02,1.000000000000000000e+00,8.949999999999995459e-02
1.590000000000000000e+02,1.000000000000000000e+00,9.024999999999998301e-02
1.600000000000000000e+02,1.000000000000000000e+00,8.700000000000010503e-02
1.610000000000000000e+02,1.000000000000000000e+00,9.199999999999999845e-02
1.620000000000000000e+02,1.000000000000000000e+00,9.275000000000002687e-02
1.630000000000000000e+02,1.000000000000000000e+00,9.425000000000008371e-02
1.640000000000000000e+02,1.000000000000000000e+00,9.425000000000008371e-02
1.650000000000000000e+02,1.000000000000000000e+00,9.425000000000008371e-02
1.660000000000000000e+02,1.000000000000000000e+00,9.425000000000008371e-02
1.670000000000000000e+02,1.000000000000000000e+00,9.425000000000008371e-02
1.680000000000000000e+02,1.000000000000000000e+00,9.425000000000008371e-02
1.690000000000000000e+02,1.000000000000000000e+00,9.675000000000011369e-02
1.700000000000000000e+02,1.000000000000000000e+00,9.749999999999996170e-02
1.710000000000000000e+02,1.000000000000000000e+00,9.525000000000005684e-02
1.720000000000000000e+02,1.000000000000000000e+00,1.000000000000000056e-01
1.730000000000000000e+02,1.000000000000000000e+00,9.675000000000011369e-02
1.740000000000000000e+02,1.000000000000000000e+00,1.000000000000000056e-01
1.750000000000000000e+02,1.000000000000000000e+00,1.007500000000000340e-01
1.760000000000000000e+02,1.000000000000000000e+00,1.025000000000000355e-01
1.770000000000000000e+02,1.000000000000000000e+00,1.025000000000000355e-01
1.780000000000000000e+02,1.000000000000000000e+00,1.015000000000000624e-01
1.790000000000000000e+02,1.000000000000000000e+00,1.025000000000000355e-01
1.800000000000000000e+02,1.000000000000000000e+00,1.032500000000000639e-01
1.810000000000000000e+02,1.000000000000000000e+00,1.025000000000000355e-01
1.820000000000000000e+02,1.000000000000000000e+00,1.040000000000000924e-01
1.830000000000000000e+02,1.000000000000000000e+00,1.025000000000000355e-01
1.840000000000000000e+02,1.000000000000000000e+00,1.047500000000001208e-01
1.850000000000000000e+02,1.000000000000000000e+00,1.065000000000001223e-01
1.860000000000000000e+02,1.000000000000000000e+00,1.097500000000000142e-01
1.870000000000000000e+02,1.000000000000000000e+00,1.080000000000000127e-01
1.880000000000000000e+02,1.000000000000000000e+00,1.105000000000000426e-01
1.890000000000000000e+02,1.000000000000000000e+00,1.105000000000000426e-01
1.900000000000000000e+02,1.000000000000000000e+00,1.097500000000000142e-01
1.910000000000000000e+02,1.000000000000000000e+00,1.105000000000000426e-01
1.920000000000000000e+02,1.000000000000000000e+00,1.105000000000000426e-01
1.930000000000000000e+02,1.000000000000000000e+00,1.112500000000000711e-01
1.940000000000000000e+02,1.000000000000000000e+00,1.120000000000000995e-01
1.950000000000000000e+02,1.000000000000000000e+00,1.105000000000000426e-01
1.960000000000000000e+02,1.000000000000000000e+00,1.144999999999999629e-01
1.970000000000000000e+02,1.000000000000000000e+00,1.160000000000000198e-01
1.980000000000000000e+02,1.000000000000000000e+00,1.177500000000000213e-01
1.990000000000000000e+02,1.000000000000000000e+00,1.137500000000001010e-01
2.000000000000000000e+02,1.000000000000000000e+00,1.185000000000000497e-01
2.010000000000000000e+02,1.000000000000000000e+00,1.160000000000000198e-01
2.020000000000000000e+02,1.000000000000000000e+00,1.185000000000000497e-01
2.030000000000000000e+02,1.000000000000000000e+00,1.185000000000000497e-01
2.040000000000000000e+02,1.000000000000000000e+00,1.192500000000000782e-01
2.050000000000000000e+02,1.000000000000000000e+00,1.185000000000000497e-01
2.060000000000000000e+02,1.000000000000000000e+00,1.177500000000000213e-01
2.070000000000000000e+02,1.000000000000000000e+00,1.185000000000000497e-01
2.080000000000000000e+02,1.000000000000000000e+00,1.210000000000000797e-01
2.090000000000000000e+02,1.000000000000000000e+00,1.200000000000001066e-01
2.100000000000000000e+02,1.000000000000000000e+00,1.210000000000000797e-01
2.110000000000000000e+02,1.000000000000000000e+00,1.210000000000000797e-01
2.120000000000000000e+02,1.000000000000000000e+00,1.224999999999999700e-01
2.130000000000000000e+02,1.000000000000000000e+00,1.192500000000000782e-01
2.140000000000000000e+02,1.000000000000000000e+00,1.242499999999999716e-01
2.150000000000000000e+02,1.000000000000000000e+00,1.232499999999999984e-01
2.160000000000000000e+02,1.000000000000000000e+00,1.232499999999999984e-01
2.170000000000000000e+02,1.000000000000000000e+00,1.250000000000000000e-01
2.180000000000000000e+02,1.000000000000000000e+00,1.257500000000000284e-01
2.190000000000000000e+02,1.000000000000000000e+00,1.265000000000000568e-01
