t,MV,PV,DV
0.000000000000000000e+00,3.000000000000000000e+01,5.218999999999999773e+01,5.000000000000000000e+01
1.000000000000000000e+00,3.000000000000000000e+01,5.225000000000000000e+01,5.000000000000000000e+01
2.000000000000000000e+00,3.000000000000000000e+01,5.215999999999999659e+01,5.000000000000000000e+01
3.000000000000000000e+00,3.000000000000000000e+01,5.225000000000000000e+01,5.000000000000000000e+01
4.000000000000000000e+00,3.000000000000000000e+01,5.225000000000000000e+01,5.000000000000000000e+01
5.000000000000000000e+00,3.000000000000000000e+01,5.228999999999999915e+01,5.000000000000000000e+01
6.000000000000000000e+00,3.000000000000000000e+01,5.228999999999999915e+01,5.000000000000000000e+01
7.000000000000000000e+00,7.000000000000000000e+01,5.242000000000000171e+01,5.000000000000000000e+01
8.000000000000000000e+00,7.000000000000000000e+01,5.235000000000000142e+01,5.000000000000000000e+01
9.000000000000000000e+00,7.000000000000000000e+01,5.245000000000000284e+01,5.000000000000000000e+01
1.000000000000000000e+01,7.000000000000000000e+01,5.232000000000000028e+01,5.000000000000000000e+01
1.100000000000000000e+01,7.000000000000000000e+01,5.235000000000000142e+01,5.000000000000000000e+01
1.200000000000000000e+01,7.000000000000000000e+01,5.235000000000000142e+01,5.000000000000000000e+01
1.300000000000000000e+01,7.000000000000000000e+01,5.245000000000000284e+01,5.000000000000000000e+01
1.400000000000000000e+01,7.000000000000000000e+01,5.238000000000000256e+01,5.000000000000000000e+01
1.500000000000000000e+01,7.000000000000000000e+01,5.242000000000000171e+01,5.000000000000000000e+01
1.600000000000000000e+01,7.000000000000000000e+01,5.228999999999999915e+01,5.000000000000000000e+01
1.700000000000000000e+01,7.000000000000000000e+01,5.232000000000000028e+01,5.000000000000000000e+01
1.800000000000000000e+01,7.000000000000000000e+01,5.238000000000000256e+01,5.000000000000000000e+01
1.900000000000000000e+01,7.000000000000000000e+01,5.238000000000000256e+01,5.000000000000000000e+01
2.000000000000000000e+01,7.000000000000000000e+01,5.245000000000000284e+01,5.000000000000000000e+01
2.100000000000000000e+01,7.000000000000000000e+01,5.247999999999999687e+01,5.000000000000000000e+01
2.200000000000000000e+01,7.000000000000000000e+01,5.247999999999999687e+01,5.000000000000000000e+01
2.300000000000000000e+01,7.000000000000000000e+01,5.253999999999999915e+01,5.000000000000000000e+01
2.400000000000000000e+01,7.000000000000000000e+01,5.247999999999999687e+01,5.000000000000000000e+01
2.500000000000000000e+01,7.000000000000000000e+01,5.260999999999999943e+01,5.000000000000000000e+01
2.600000000000000000e+01,7.000000000000000000e+01,5.267000000000000171e+01,5.000000000000000000e+01
2.700000000000000000e+01,7.000000000000000000e+01,5.260999999999999943e+01,5.000000000000000000e+01
2.800000000000000000e+01,7.000000000000000000e+01,5.274000000000000199e+01,5.000000000000000000e+01
2.900000000000000000e+01,7.000000000000000000e+01,5.274000000000000199e+01,5.000000000000000000e+01
3.000000000000000000e+01,7.000000000000000000e+01,5.279999999999999716e+01,5.000000000000000000e+01
3.100000000000000000e+01,7.000000000000000000e+01,5.289999999999999858e+01,5.000000000000000000e+01
3.200000000000000000e+01,7.000000000000000000e+01,5.282999999999999829e+01,5.000000000000000000e+01
3.300000000000000000e+01,7.000000000000000000e+01,5.292999999999999972e+01,5.000000000000000000e+01
3.400000000000000000e+01,7.000000000000000000e+01,5.313000000000000256e+01,5.000000000000000000e+01
3.500000000000000000e+01,7.000000000000000000e+01,5.309000000000000341e+01,5.000000000000000000e+01
3.600000000000000000e+01,7.000000000000000000e+01,5.309000000000000341e+01,5.000000000000000000e+01
3.700000000000000000e+01,7.000000000000000000e+01,5.313000000000000256e+01,5.000000000000000000e+01
3.800000000000000000e+01,7.000000000000000000e+01,5.313000000000000256e+01,5.000000000000000000e+01
3.900000000000000000e+01,7.000000000000000000e+01,5.321999999999999886e+01,5.000000000000000000e+01
4.000000000000000000e+01,7.000000000000000000e+01,5.332000000000000028e+01,5.000000000000000000e+01
4.100000000000000000e+01,7.000000000000000000e+01,5.335000000000000142e+01,5.000000000000000000e+01
4.200000000000000000e+01,7.000000000000000000e+01,5.345000000000000284e+01,5.000000000000000000e+01
4.300000000000000000e+01,7.000000000000000000e+01,5.345000000000000284e+01,5.000000000000000000e+01
4.400000000000000000e+01,7.000000000000000000e+01,5.353999999999999915e+01,5.000000000000000000e+01
4.500000000000000000e+01,7.000000000000000000e+01,5.360999999999999943e+01,5.000000000000000000e+01
4.600000000000000000e+01,7.000000000000000000e+01,5.367000000000000171e+01,5.000000000000000000e+01
4.700000000000000000e+01,7.000000000000000000e+01,5.374000000000000199e+01,5.000000000000000000e+01
4.800000000000000000e+01,7.000000000000000000e+01,5.377000000000000313e+01,5.000000000000000000e+01
4.900000000000000000e+01,7.000000000000000000e+01,5.379999999999999716e+01,5.000000000000000000e+01
5.000000000000000000e+01,7.000000000000000000e+01,5.389999999999999858e+01,5.000000000000000000e+01
5.100000000000000000e+01,7.000000000000000000e+01,5.400000000000000000e+01,5.000000000000000000e+01
5.200000000000000000e+01,7.000000000000000000e+01,5.409000000000000341e+01,5.000000000000000000e+01
5.300000000000000000e+01,7.000000000000000000e+01,5.411999999999999744e+01,5.000000000000000000e+01
5.400000000000000000e+01,7.000000000000000000e+01,5.409000000000000341e+01,5.000000000000000000e+01
5.500000000000000000e+01,7.000000000000000000e+01,5.418999999999999773e+01,5.000000000000000000e+01
5.600000000000000000e+01,7.000000000000000000e+01,5.435000000000000142e+01,5.000000000000000000e+01
5.700000000000000000e+01,7.000000000000000000e+01,5.445000000000000284e+01,5.000000000000000000e+01
5.800000000000000000e+01,7.000000000000000000e+01,5.440999999999999659e+01,5.000000000000000000e+01
5.900000000000000000e+01,7.000000000000000000e+01,5.447999999999999687e+01,5.000000000000000000e+01
6.000000000000000000e+01,7.000000000000000000e+01,5.440999999999999659e+01,5.000000000000000000e+01
6.100000000000000000e+01,7.000000000000000000e+01,5.467000000000000171e+01,5.000000000000000000e+01
6.200000000000000000e+01,7.000000000000000000e+01,5.467000000000000171e+01,5.000000000000000000e+01
6.300000000000000000e+01,7.000000000000000000e+01,5.477000000000000313e+01,5.000000000000000000e+01
6.400000000000000000e+01,7.000000000000000000e+01,5.479999999999999716e+01,5.000000000000000000e+01
6.500000000000000000e+01,7.000000000000000000e+01,5.479999999999999716e+01,5.000000000000000000e+01
6.600000000000000000e+01,7.000000000000000000e+01,5.486999999999999744e+01,5.000000000000000000e+01
6.700000000000000000e+01,7.000000000000000000e+01,5.506000000000000227e+01,5.000000000000000000e+01
6.800000000000000000e+01,7.000000000000000000e+01,5.506000000000000227e+01,5.000000000000000000e+01
6.900000000000000000e+01,7.000000000000000000e+01,5.509000000000000341e+01,5.000000000000000000e+01
7.000000000000000000e+01,7.000000000000000000e+01,5.518999999999999773e+01,5.000000000000000000e+01
7.100000000000000000e+01,7.000000000000000000e+01,5.528000000000000114e+01,5.000000000000000000e+01
7.200000000000000000e+01,7.000000000000000000e+01,5.521999999999999886e+01,5.000000000000000000e+01
7.300000000000000000e+01,7.000000000000000000e+01,5.538000000000000256e+01,5.000000000000000000e+01
7.400000000000000000e+01,7.000000000000000000e+01,5.540999999999999659e+01,5.000000000000000000e+01
7.500000000000000000e+01,7.000000000000000000e+01,5.545000000000000284e+01,5.000000000000000000e+01
7.600000000000000000e+01,7.000000000000000000e+01,5.540999999999999659e+01,5.000000000000000000e+01
7.700000000000000000e+01,7.000000000000000000e+01,5.564000000000000057e+01,5.000000000000000000e+01
7.800000000000000000e+01,7.000000000000000000e+01,5.570000000000000284e+01,5.000000000000000000e+01
7.900000000000000000e+01,7.000000000000000000e+01,5.570000000000000284e+01,5.000000000000000000e+01
8.000000000000000000e+01,7.000000000000000000e+01,5.570000000000000284e+01,5.000000000000000000e+01
8.100000000000000000e+01,7.000000000000000000e+01,5.582999999999999829e+01,5.000000000000000000e+01
8.200000000000000000e+01,7.000000000000000000e+01,5.589999999999999858e+01,5.000000000000000000e+01
8.300000000000000000e+01,7.000000000000000000e+01,5.599000000000000199e+01,5.000000000000000000e+01
8.400000000000000000e+01,7.000000000000000000e+01,5.599000000000000199e+01,5.000000000000000000e+01
8.500000000000000000e+01,7.000000000000000000e+01,5.609000000000000341e+01,5.000000000000000000e+01
8.600000000000000000e+01,7.000000000000000000e+01,5.614999999999999858e+01,5.000000000000000000e+01
8.700000000000000000e+01,7.000000000000000000e+01,5.632000000000000028e+01,5.000000000000000000e+01
8.800000000000000000e+01,7.000000000000000000e+01,5.628000000000000114e+01,5.000000000000000000e+01
8.900000000000000000e+01,7.000000000000000000e+01,5.638000000000000256e+01,5.000000000000000000e+01
9.000000000000000000e+01,7.000000000000000000e+01,5.635000000000000142e+01,5.000000000000000000e+01
9.100000000000000000e+01,7.000000000000000000e+01,5.643999999999999773e+01,5.000000000000000000e+01
9.200000000000000000e+01,7.000000000000000000e+01,5.647999999999999687e+01,5.000000000000000000e+01
9.300000000000000000e+01,7.000000000000000000e+01,5.657000000000000028e+01,5.000000000000000000e+01
9.400000000000000000e+01,7.000000000000000000e+01,5.664000000000000057e+01,5.000000000000000000e+01
9.500000000000000000e+01,7.000000000000000000e+01,5.670000000000000284e+01,5.000000000000000000e+01
9.600000000000000000e+01,7.000000000000000000e+01,5.667000000000000171e+01,5.000000000000000000e+01
9.700000000000000000e+01,7.000000000000000000e+01,5.670000000000000284e+01,5.000000000000000000e+01
9.800000000000000000e+01,7.000000000000000000e+01,5.677000000000000313e+01,5.000000000000000000e+01
9.900000000000000000e+01,7.000000000000000000e+01,5.689999999999999858e+01,5.000000000000000000e+01
1.000000000000000000e+02,7.000000000000000000e+01,5.696000000000000085e+01,5.000000000000000000e+01
1.010000000000000000e+02,7.000000000000000000e+01,5.699000000000000199e+01,5.000000000000000000e+01
1.020000000000000000e+02,7.000000000000000000e+01,5.699000000000000199e+01,5.000000000000000000e+01
