tm,MVm,PVm
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,1.000000000000000000e+00,9.999999999999787705e-04
3.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,1.000000000000000000e+00,2.499999999999857805e-03
5.000000000000000000e+00,1.000000000000000000e+00,4.249999999999864997e-03
6.000000000000000000e+00,1.000000000000000000e+00,9.999999999999787705e-04
7.000000000000000000e+00,1.000000000000000000e+00,4.249999999999864997e-03
8.000000000000000000e+00,1.000000000000000000e+00,3.249999999999886226e-03
9.000000000000000000e+00,1.000000000000000000e+00,1.750000000000007192e-03
1.000000000000000000e+01,1.000000000000000000e+00,6.499999999999950262e-03
1.100000000000000000e+01,1.000000000000000000e+00,9.999999999999787705e-04
1.200000000000000000e+01,1.000000000000000000e+00,4.249999999999864997e-03
1.300000000000000000e+01,1.000000000000000000e+00,6.499999999999950262e-03
1.400000000000000000e+01,1.000000000000000000e+00,5.749999999999921840e-03
1.500000000000000000e+01,1.000000000000000000e+00,7.249999999999978684e-03
1.600000000000000000e+01,1.000000000000000000e+00,5.749999999999921840e-03
1.700000000000000000e+01,1.000000000000000000e+00,6.499999999999950262e-03
1.800000000000000000e+01,1.000000000000000000e+00,8.999999999999985442e-03
1.900000000000000000e+01,1.000000000000000000e+00,5.749999999999921840e-03
2.000000000000000000e+01,1.000000000000000000e+00,1.224999999999987210e-02
2.100000000000000000e+01,1.000000000000000000e+00,9.749999999999836922e-03
2.200000000000000000e+01,1.000000000000000000e+00,1.224999999999987210e-02
2.300000000000000000e+01,1.000000000000000000e+00,1.374999999999992895e-02
2.400000000000000000e+01,1.000000000000000000e+00,1.374999999999992895e-02
2.500000000000000000e+01,1.000000000000000000e+00,1.774999999999984229e-02
2.600000000000000000e+01,1.000000000000000000e+00,1.949999999999985079e-02
2.700000000000000000e+01,1.000000000000000000e+00,2.024999999999987921e-02
2.800000000000000000e+01,1.000000000000000000e+00,1.774999999999984229e-02
2.900000000000000000e+01,1.000000000000000000e+00,2.099999999999990763e-02
3.000000000000000000e+01,1.000000000000000000e+00,2.024999999999987921e-02
3.100000000000000000e+01,1.000000000000000000e+00,2.349999999999994454e-02
3.200000000000000000e+01,1.000000000000000000e+00,2.424999999999997297e-02
3.300000000000000000e+01,1.000000000000000000e+00,2.500000000000000139e-02
3.400000000000000000e+01,1.000000000000000000e+00,2.749999999999985789e-02
3.500000000000000000e+01,1.000000000000000000e+00,2.599999999999997799e-02
3.600000000000000000e+01,1.000000000000000000e+00,3.074999999999992323e-02
3.700000000000000000e+01,1.000000000000000000e+00,3.149999999999995165e-02
3.800000000000000000e+01,1.000000000000000000e+00,2.999999999999989481e-02
3.900000000000000000e+01,1.000000000000000000e+00,3.549999999999986500e-02
4.000000000000000000e+01,1.000000000000000000e+00,3.399999999999998856e-02
4.100000000000000000e+01,1.000000000000000000e+00,3.624999999999989342e-02
4.200000000000000000e+01,1.000000000000000000e+00,3.799999999999990191e-02
4.300000000000000000e+01,1.000000000000000000e+00,3.799999999999990191e-02
4.400000000000000000e+01,1.000000000000000000e+00,4.124999999999996725e-02
4.500000000000000000e+01,1.000000000000000000e+00,4.124999999999996725e-02
4.600000000000000000e+01,1.000000000000000000e+00,4.349999999999987210e-02
4.700000000000000000e+01,1.000000000000000000e+00,4.199999999999999567e-02
4.800000000000000000e+01,1.000000000000000000e+00,4.524999999999988060e-02
4.900000000000000000e+01,1.000000000000000000e+00,4.674999999999993744e-02
5.000000000000000000e+01,1.000000000000000000e+00,4.674999999999993744e-02
5.100000000000000000e+01,1.000000000000000000e+00,4.924999999999997435e-02
5.200000000000000000e+01,1.000000000000000000e+00,4.849999999999994593e-02
5.300000000000000000e+01,1.000000000000000000e+00,5.324999999999988770e-02
5.400000000000000000e+01,1.000000000000000000e+00,5.074999999999985079e-02
5.500000000000000000e+01,1.000000000000000000e+00,5.399999999999991612e-02
5.600000000000000000e+01,1.000000000000000000e+00,5.399999999999991612e-02
5.700000000000000000e+01,1.000000000000000000e+00,5.574999999999992462e-02
5.800000000000000000e+01,1.000000000000000000e+00,5.899999999999998301e-02
5.900000000000000000e+01,1.000000000000000000e+00,5.974999999999983796e-02
6.000000000000000000e+01,1.000000000000000000e+00,5.800000000000000988e-02
6.100000000000000000e+01,1.000000000000000000e+00,6.224999999999987488e-02
6.200000000000000000e+01,1.000000000000000000e+00,6.374999999999993172e-02
6.300000000000000000e+01,1.000000000000000000e+00,6.449999999999996014e-02
6.400000000000000000e+01,1.000000000000000000e+00,6.449999999999996014e-02
6.500000000000000000e+01,1.000000000000000000e+00,6.849999999999986655e-02
6.600000000000000000e+01,1.000000000000000000e+00,6.774999999999983813e-02
6.700000000000000000e+01,1.000000000000000000e+00,7.024999999999988198e-02
6.800000000000000000e+01,1.000000000000000000e+00,7.249999999999996725e-02
6.900000000000000000e+01,1.000000000000000000e+00,7.424999999999996880e-02
7.000000000000000000e+01,1.000000000000000000e+00,7.424999999999996880e-02
7.100000000000000000e+01,1.000000000000000000e+00,7.824999999999988909e-02
7.200000000000000000e+01,1.000000000000000000e+00,7.749999999999986067e-02
7.300000000000000000e+01,1.000000000000000000e+00,7.899999999999991751e-02
7.400000000000000000e+01,1.000000000000000000e+00,8.224999999999997591e-02
7.500000000000000000e+01,1.000000000000000000e+00,8.300000000000000433e-02
7.600000000000000000e+01,1.000000000000000000e+00,8.474999999999983935e-02
7.700000000000000000e+01,1.000000000000000000e+00,8.549999999999986777e-02
7.800000000000000000e+01,1.000000000000000000e+00,8.300000000000000433e-02
7.900000000000000000e+01,1.000000000000000000e+00,8.949999999999995459e-02
8.000000000000000000e+01,1.000000000000000000e+00,8.699999999999992462e-02
8.100000000000000000e+01,1.000000000000000000e+00,9.124999999999997002e-02
8.200000000000000000e+01,1.000000000000000000e+00,9.199999999999999845e-02
8.300000000000000000e+01,1.000000000000000000e+00,9.124999999999997002e-02
8.400000000000000000e+01,1.000000000000000000e+00,9.349999999999987488e-02
8.500000000000000000e+01,1.000000000000000000e+00,9.424999999999990330e-02
8.600000000000000000e+01,1.000000000000000000e+00,9.524999999999987643e-02
8.700000000000000000e+01,1.000000000000000000e+00,9.674999999999993328e-02
8.800000000000000000e+01,1.000000000000000000e+00,1.000000000000000056e-01
8.900000000000000000e+01,1.000000000000000000e+00,9.849999999999994871e-02
9.000000000000000000e+01,1.000000000000000000e+00,1.007499999999998536e-01
9.100000000000000000e+01,1.000000000000000000e+00,1.024999999999998551e-01
9.200000000000000000e+01,1.000000000000000000e+00,1.057499999999999274e-01
9.300000000000000000e+01,1.000000000000000000e+00,1.032499999999998835e-01
9.400000000000000000e+01,1.000000000000000000e+00,1.047499999999999404e-01
9.500000000000000000e+01,1.000000000000000000e+00,1.089999999999999858e-01
9.600000000000000000e+01,1.000000000000000000e+00,1.064999999999999558e-01
9.700000000000000000e+01,1.000000000000000000e+00,1.072499999999999842e-01
9.800000000000000000e+01,1.000000000000000000e+00,1.104999999999998622e-01
9.900000000000000000e+01,1.000000000000000000e+00,1.119999999999999191e-01
1.000000000000000000e+02,1.000000000000000000e+00,1.137499999999999345e-01
1.010000000000000000e+02,1.000000000000000000e+00,1.129999999999999061e-01
1.020000000000000000e+02,1.000000000000000000e+00,1.162499999999999645e-01
1.030000000000000000e+02,1.000000000000000000e+00,1.169999999999999929e-01
1.040000000000000000e+02,1.000000000000000000e+00,1.169999999999999929e-01
