tm,MVm,PVm
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.499999999999879251e-03
2.000000000000000000e+00,1.000000000000000000e+00,1.499999999999879251e-03
3.000000000000000000e+00,1.000000000000000000e+00,2.499999999999857805e-03
4.000000000000000000e+00,1.000000000000000000e+00,2.499999999999857805e-03
5.000000000000000000e+00,1.000000000000000000e+00,2.499999999999857805e-03
6.000000000000000000e+00,1.000000000000000000e+00,2.499999999999857805e-03
7.000000000000000000e+00,1.000000000000000000e+00,4.749999999999943504e-03
8.000000000000000000e+00,1.000000000000000000e+00,6.499999999999950262e-03
9.000000000000000000e+00,1.000000000000000000e+00,8.000000000000007105e-03
1.000000000000000000e+01,1.000000000000000000e+00,1.049999999999986534e-02
1.100000000000000000e+01,1.000000000000000000e+00,1.124999999999989377e-02
1.200000000000000000e+01,1.000000000000000000e+00,1.699999999999999428e-02
1.300000000000000000e+01,1.000000000000000000e+00,1.849999999999987071e-02
1.400000000000000000e+01,1.000000000000000000e+00,2.099999999999990763e-02
1.500000000000000000e+01,1.000000000000000000e+00,2.649999999999987782e-02
1.600000000000000000e+01,1.000000000000000000e+00,3.375000000000003691e-02
1.700000000000000000e+01,1.000000000000000000e+00,3.549999999999986500e-02
1.800000000000000000e+01,1.000000000000000000e+00,4.275000000000002409e-02
1.900000000000000000e+01,1.000000000000000000e+00,4.499999999999974853e-02
2.000000000000000000e+01,1.000000000000000000e+00,5.074999999999985079e-02
2.100000000000000000e+01,1.000000000000000000e+00,5.400000000000008959e-02
2.200000000000000000e+01,1.000000000000000000e+00,5.875000000000003830e-02
2.300000000000000000e+01,1.000000000000000000e+00,6.049999999999986638e-02
2.400000000000000000e+01,1.000000000000000000e+00,6.674999999999986500e-02
2.500000000000000000e+01,1.000000000000000000e+00,6.850000000000040778e-02
2.600000000000000000e+01,1.000000000000000000e+00,7.499999999999981681e-02
2.700000000000000000e+01,1.000000000000000000e+00,7.574999999999984523e-02
