tm,DVm,PVm
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,-2.499999999999857805e-03
2.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,1.000000000000000000e+00,-1.749999999999829383e-03
4.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,1.000000000000000000e+00,-7.499999999998508294e-04
6.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000000e+00,1.000000000000000000e+00,-1.749999999999829383e-03
8.000000000000000000e+00,1.000000000000000000e+00,-7.499999999998508294e-04
9.000000000000000000e+00,1.000000000000000000e+00,-7.499999999998508294e-04
1.000000000000000000e+01,1.000000000000000000e+00,-1.749999999999829383e-03
1.100000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00
1.200000000000000000e+01,1.000000000000000000e+00,2.500000000000035614e-03
1.300000000000000000e+01,1.000000000000000000e+00,-1.749999999999829383e-03
1.400000000000000000e+01,1.000000000000000000e+00,2.500000000000035614e-03
1.500000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00
1.600000000000000000e+01,1.000000000000000000e+00,2.500000000000035614e-03
1.700000000000000000e+01,1.000000000000000000e+00,1.500000000000056843e-03
1.800000000000000000e+01,1.000000000000000000e+00,-7.499999999998508294e-04
1.900000000000000000e+01,1.000000000000000000e+00,2.500000000000035614e-03
2.000000000000000000e+01,1.000000000000000000e+00,2.500000000000035614e-03
2.100000000000000000e+01,1.000000000000000000e+00,4.000000000000092024e-03
2.200000000000000000e+01,1.000000000000000000e+00,2.500000000000035614e-03
2.300000000000000000e+01,1.000000000000000000e+00,3.250000000000064036e-03
2.400000000000000000e+01,1.000000000000000000e+00,4.750000000000120445e-03
2.500000000000000000e+01,1.000000000000000000e+00,3.250000000000064036e-03
2.600000000000000000e+01,1.000000000000000000e+00,4.000000000000092024e-03
2.700000000000000000e+01,1.000000000000000000e+00,5.500000000000148867e-03
