t,MV,MVP,MVI,MVD,PV,SP,DV,Man
0.000000000000000000e+00,5.000000000000000000e+01,1.366825233327403737e+02,-8.668252333274037369e+01,0.000000000000000000e+00,2.392999999999999972e+01,5.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.000000000000000000e+00,5.000000000000000000e+01,1.361609874350809548e+02,-8.568867093875989838e+01,-4.723164963210533807e-01,2.405999999999999872e+01,5.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.000000000000000000e+00,4.999999999999999289e+01,1.360406329971595483e+02,-8.550389475845153697e+01,-5.367382387080179562e-01,2.408999999999999986e+01,5.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.000000000000000000e+00,5.000000000000000711e+01,1.363214600189761825e+02,-8.608970015378982055e+01,-2.317598651863571058e-01,2.401999999999999957e+01,5.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.000000000000000000e+00,5.000000000000000000e+01,1.360406329971595483e+02,-8.557642095803454652e+01,-4.642120391250023070e-01,2.408999999999999986e+01,5.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
5.000000000000000000e+00,5.000000000000000000e+01,1.359202785592381417e+02,-8.539087992810958383e+01,-5.293986311285556745e-01,2.412000000000000099e+01,5.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
6.000000000000000000e+00,5.000000000000000000e+01,1.361609874350809548e+02,-8.589954247155634448e+01,-2.614449635246098858e-01,2.405999999999999872e+01,5.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
7.000000000000000000e+00,5.000000000000000711e+01,1.359202785592381417e+02,-8.546551495986061298e+01,-4.547635993775231422e-01,2.412000000000000099e+01,5.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
8.000000000000000000e+00,5.000000000000000000e+01,1.360406329971595483e+02,-8.573778334829461301e+01,-3.028496488649318197e-01,2.408999999999999986e+01,5.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
9.000000000000000000e+00,5.000000000000000711e+01,1.359202785592381417e+02,-8.553701391264959852e+01,-3.832646465885373166e-01,2.412000000000000099e+01,5.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
