t,MV,PV,DV
0.000000000000000000e+00,3.000000000000000000e+01,4.117000000000000171e+01,5.000000000000000000e+01
1.000000000000000000e+00,3.000000000000000000e+01,4.117000000000000171e+01,5.000000000000000000e+01
2.000000000000000000e+00,3.000000000000000000e+01,4.103999999999999915e+01,5.000000000000000000e+01
3.000000000000000000e+00,3.000000000000000000e+01,4.107000000000000028e+01,5.000000000000000000e+01
4.000000000000000000e+00,3.000000000000000000e+01,4.100999999999999801e+01,5.000000000000000000e+01
5.000000000000000000e+00,3.000000000000000000e+01,4.120000000000000284e+01,5.000000000000000000e+01
6.000000000000000000e+00,3.000000000000000000e+01,4.100999999999999801e+01,5.000000000000000000e+01
7.000000000000000000e+00,3.000000000000000000e+01,4.110000000000000142e+01,5.000000000000000000e+01
8.000000000000000000e+00,3.000000000000000000e+01,4.107000000000000028e+01,5.000000000000000000e+01
9.000000000000000000e+00,3.000000000000000000e+01,4.114000000000000057e+01,5.000000000000000000e+01
1.000000000000000000e+01,3.000000000000000000e+01,4.110000000000000142e+01,5.000000000000000000e+01
1.100000000000000000e+01,3.000000000000000000e+01,4.117000000000000171e+01,5.000000000000000000e+01
1.200000000000000000e+01,3.000000000000000000e+01,4.120000000000000284e+01,5.000000000000000000e+01
1.300000000000000000e+01,3.000000000000000000e+01,4.117000000000000171e+01,5.000000000000000000e+01
1.400000000000000000e+01,3.000000000000000000e+01,4.122999999999999687e+01,5.000000000000000000e+01
1.500000000000000000e+01,3.000000000000000000e+01,4.122999999999999687e+01,5.000000000000000000e+01
1.600000000000000000e+01,3.000000000000000000e+01,4.127000000000000313e+01,5.000000000000000000e+01
1.700000000000000000e+01,3.000000000000000000e+01,4.120000000000000284e+01,5.000000000000000000e+01
1.800000000000000000e+01,7.000000000000000000e+01,4.127000000000000313e+01,5.000000000000000000e+01
1.900000000000000000e+01,7.000000000000000000e+01,4.122999999999999687e+01,5.000000000000000000e+01
2.000000000000000000e+01,7.000000000000000000e+01,4.122999999999999687e+01,5.000000000000000000e+01
2.100000000000000000e+01,7.000000000000000000e+01,4.122999999999999687e+01,5.000000000000000000e+01
2.200000000000000000e+01,7.000000000000000000e+01,4.127000000000000313e+01,5.000000000000000000e+01
